MovieTitle,ReleaseYear,Duration,Rating,Metascore,Votes,Gross
Laura,1944,88.0,7.9,91.0,50662.0,4360000.0
The Best Years of Our Lives,1946,170.0,8.1,91.0,69686.0,23650000.0
À bout de souffle,1960,90.0,7.7,91.0,87155.0,336705.0
Tanpopo,1985,114.0,7.9,91.0,22116.0,224097.0
Werckmeister harmóniák,2000,145.0,8.0,91.0,15649.0,25461.0
Edvard Munch,1974,210.0,8.2,91.0,3350.0,43539.0
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975,202.0,7.5,91.0,13419.0,19858.0
Thị Trấn Rio Bravo,1959,141.0,8.0,91.0,67435.0,12535000.0
2001: Chuyến Du Hành Không Gian,1968,149.0,8.3,84.0,711033.0,56954992.0
Câu Chuyện Đồ Chơi 4,2019,100.0,7.7,84.0,275991.0,434038008.0
The Last Waltz,1978,117.0,8.1,84.0,19809.0,321952.0
Kẻ Lạ Trên Chuyến Tàu,1951,101.0,7.9,84.0,139960.0,7630000.0
The Hustler,1961,134.0,8.0,84.0,86182.0,8284000.0
Rô-bốt Biết Yêu,2008,98.0,8.4,84.0,1185900.0,223808164.0
Những Tay Súng Miền Hoang Dã,1969,145.0,7.9,84.0,89662.0,12064472.0
Amazing Grace,2018,89.0,7.5,84.0,5092.0,4446414.0
Chuyến Tàu Mang Tên Dục Vọng,1951,122.0,7.9,84.0,113499.0,8000000.0
Khoảnh Khắc Cuộc Đời,2006,137.0,8.4,84.0,406848.0,11286112.0
Campanadas a medianoche,1965,119.0,7.6,84.0,10021.0,123398.0
The Train,1964,133.0,7.8,84.0,18452.0,7410000.0
Visages villages,2017,94.0,7.8,84.0,13455.0,953717.0
Aparajito,1956,110.0,8.2,84.0,15788.0,170215.0
Top Hat,1935,101.0,7.7,84.0,20517.0,3884760.0
Safety Last!,1923,74.0,8.1,84.0,22587.0,1359903.0
Nhất Nhất,2000,173.0,8.1,84.0,27842.0,1136776.0
Nhà tù Shawshank,1994,142.0,9.3,84.0,2852749.0,28341469.0
The Right Stuff,1983,193.0,7.8,84.0,64867.0,21500000.0
Chuyện Xảy Ra Trong Đêm,1934,105.0,8.1,84.0,111020.0,4360000.0
Anh Chàng Hay Mơ,1985,132.0,7.9,84.0,209845.0,9929135.0
The Navigator,1924,59.0,7.6,84.0,10925.0,1483285.0
Max Điên: Con Đường Tử Thần,2015,120.0,8.1,84.0,1071119.0,154058340.0
Lật Lại Một Vụ Án,1959,161.0,8.0,84.0,70489.0,11900000.0
The Shop Around the Corner,1940,99.0,8.0,84.0,38039.0,203300.0
Gấu Paddington 2,2017,103.0,7.8,84.0,92135.0,40442052.0
Withnail & I,1987,107.0,7.5,84.0,47348.0,1544889.0
The Unknown,1927,68.0,7.7,84.0,8962.0,406600.0
Gọi Em Bằng Tên Anh,2017,132.0,7.8,84.0,307514.0,18095701.0
Trưa Hè Nóng Bỏng,1952,85.0,8.0,84.0,109377.0,9450000.0
Les diaboliques,1955,117.0,8.1,84.0,68887.0,1090000.0
A Night at the Opera,1935,96.0,7.8,84.0,34502.0,2537520.0
La nuit américaine,1973,116.0,8.0,84.0,24546.0,17808.0
Chú Chuột Đầu Bếp,2007,111.0,8.1,84.0,809961.0,206445654.0
Scener ur ett äktenskap,1974,169.0,8.3,84.0,8463.0,683001.0
Mạng Xã Hội,2010,120.0,7.8,84.0,750497.0,96962694.0
Đêm Của Những Thây Ma,1968,96.0,7.8,84.0,137830.0,89029.0
Our Hospitality,1923,65.0,7.8,84.0,12359.0,1172499.0
Chuyện Công Chúa Kaguya,2013,137.0,8.0,84.0,52901.0,1506975.0
Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,2002,179.0,8.8,84.0,1761789.0,342551365.0
Seven Chances,1925,56.0,7.8,84.0,11573.0,210748.0
Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,1977,121.0,8.6,84.0,1435409.0,322740140.0
Coco: Hội Ngộ Diệu Kỳ,2017,105.0,8.4,84.0,577696.0,209726015.0
Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,1980,124.0,8.7,84.0,1364805.0,290475067.0
Sự Im Lặng Của Bầy Cừu,1991,118.0,8.6,84.0,1528232.0,130742922.0
Câu Chuyện Đồ Chơi,1995,81.0,8.3,84.0,1056730.0,191796233.0
Cọp Không Biết Sợ,2017,83.0,6.9,84.0,8788.0,129078.0
Babettes gæstebud,1987,103.0,7.8,84.0,21696.0,4398938.0
Nghệ Sĩ,2011,100.0,7.9,84.0,247569.0,44671682.0
The Sweet Hereafter,1997,112.0,7.5,84.0,36553.0,3252652.0
Avengers: Hồi Kết,2019,181.0,8.4,84.0,1245357.0,858373000.0
Hàng Xóm Của Tôi Là Totoro,1988,86.0,8.1,84.0,373052.0,1105564.0
Ba Sắc Màu: Xanh,1993,94.0,7.9,84.0,109328.0,1324974.0
Gold Diggers of 1933,1933,97.0,7.7,84.0,9052.0,4800360.0
Song of the Sea,2014,93.0,8.0,84.0,62507.0,857524.0
I vitelloni,1953,109.0,7.8,84.0,19720.0,97944.0
Tower,2016,82.0,7.9,84.0,8255.0,94329.0
Tên Cậu Là Gì?,2016,106.0,8.4,84.0,311644.0,5017246.0
Nashville,1975,160.0,7.6,96.0,28247.0,14824000.0
Gimme Shelter,1970,91.0,7.8,96.0,12757.0,252570.0
Le charme discret de la bourgeoisie,1972,102.0,7.8,96.0,46176.0,198809.0
Dục Vọng Mơ Hồ,1977,103.0,7.8,96.0,24456.0,55261.0
Cuộc Chiến Không Trọng Lực,2013,91.0,7.7,96.0,857187.0,274092705.0
Before Midnight,2013,109.0,7.9,96.0,170388.0,8114627.0
Quái Vật Không Gian,1979,117.0,8.5,96.0,938438.0,78900000.0
Nema-ye Nazdik,1990,98.0,8.2,96.0,22511.0,2670.0
Bí Mật Los Angeles,1997,138.0,8.2,96.0,611761.0,64616940.0
Rắc Rối Tuổi Teen,2013,96.0,7.9,96.0,91330.0,1010414.0
Les parapluies de Cherbourg,1964,91.0,7.8,96.0,30791.0,28030.0
Ánh Trăng,2016,111.0,7.4,96.0,328078.0,27854932.0
Emmet Otter's Jug-Band Christmas,1977,48.0,8.2,96.0,4742.0,225627.0
Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,2003,201.0,9.0,96.0,1954296.0,377845905.0
Thiên Đường Thứ 7,1927,110.0,7.6,96.0,4077.0,3924000.0
Room,2015,118.0,8.1,96.0,445714.0,14677674.0
Giải Cứu Binh Nhì Ryan,1998,169.0,8.6,96.0,1479396.0,216540909.0
Quái Vật Không Gian 2,1986,137.0,8.4,96.0,755078.0,85160248.0
Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,2001,178.0,8.9,96.0,1981734.0,315544750.0
The Conversation,1974,113.0,7.7,96.0,120030.0,4420000.0
Eighth Grade,2018,93.0,7.4,96.0,81704.0,13539709.0
Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,2004,108.0,8.3,96.0,1064736.0,34400301.0
Andhadhun,2018,139.0,8.2,96.0,101578.0,1373943.0
