MovieTitle,ReleaseYear,Duration,Genre,Rating,Metascore,Votes,Gross
The House is Black,1963,20 min,"Documentary, Short",7.8,91,5450,5450
Đêm Của Kẻ Đi Săn,1955,92 min,"Crime, Drama, Film-Noir",8,91,96369,96369
Au hasard Balthazar,1966,95 min,Drama,7.8,91,22530,22530
Cơn Bão,1928,70 min,"Action, Comedy, Drama",7.8,91,15963,15963
Thời Thơ Ấu Của Ivan,1962,95 min,"Drama, War",8,91,39424,39424
Jalsaghar,1958,100 min,"Drama, Music",7.9,91,6684,6684
The Shop on Main Street,1965,128 min,"Drama, War",8.2,91,9605,9605
Ba Sắc Màu: Đỏ,1994,99 min,"Drama, Mystery, Romance",8.1,91,109011,109011
Hoop Dreams,1994,170 min,"Documentary, Drama, Sport",8.3,91,27761,27761
Rebecca,1940,130 min,"Drama, Film-Noir, Mystery",8.1,91,145167,145167
It's Such a Beautiful Day,2012,62 min,"Animation, Comedy, Drama",8.2,91,15692,15692
Trái Dâu Dại,1957,91 min,"Drama, Romance",8.1,91,113755,113755
A Matter of Life and Death,1946,104 min,"Drama, Fantasy, Romance",8,91,24333,24333
Charulata,1964,117 min,"Drama, Romance",8.1,91,7110,7110
Il conformista,1970,113 min,Drama,7.9,91,33266,33266
Playtime,1967,155 min,Comedy,7.8,91,25527,25527
The Big Parade,1925,151 min,"Drama, Romance, War",7.9,91,7190,7190
Vượt Ngục,1960,131 min,"Crime, Drama, Thriller",8.5,91,19989,19989
Trận Chiến Tàu Ngầm,1981,149 min,"Drama, War",8.4,91,262302,262302
Umberto D.,1952,89 min,Drama,8.2,91,27830,27830
Những Mảnh Ghép Cảm Xúc,I 2015,95 min,"Animation, Adventure, Comedy",8.1,91,773337,773337
Bóng Tối Chiến Tranh,1969,145 min,"Drama, War",8.1,91,25532,25532
Chén Thánh Phiêu Lưu Ký,1975,91 min,"Adventure, Comedy, Fantasy",8.2,91,565784,565784
Người Nhện: Vũ Trụ Mới,2018,117 min,"Animation, Action, Adventure",8.4,91,656096,656096
Tạm Biệt Những Đứa Trẻ,1987,104 min,"Drama, War",8,91,35841,35841
The Last Picture Show,1971,118 min,"Drama, Romance",8,91,51814,51814
Kumonosu-jô,1957,110 min,Drama,8.1,91,55309,55309
Hiroshima Tình Yêu Của Tôi,1959,90 min,"Drama, Romance",7.8,91,35443,35443
Đứa Trẻ,1921,68 min,"Comedy, Drama, Family",8.2,91,133486,133486
Xe Lửa Tình Yêu,1926,78 min,"Action, Adventure, Comedy",8.1,91,97156,97156
Chinh Phục Mặt Trăng,I 2019,93 min,"Documentary, History",8.1,91,26988,26988
Cool Hand Luke,1967,127 min,"Crime, Drama",8.1,91,187031,187031
Le notti di Cabiria,1957,110 min,Drama,8.1,91,51566,51566
El ángel exterminador,1962,95 min,"Drama, Fantasy",8,91,35231,35231
Bronenosets Potemkin,1925,75 min,"Drama, History, Thriller",7.9,91,60955,60955
Stalker,1979,162 min,"Drama, Sci-Fi",8.1,91,142983,142983
Der letzte Mann,1924,77 min,Drama,8,91,15046,15046
The Cameraman,1928,76 min,"Comedy, Drama, Family",8,91,12946,12946
Sátántangó,1994,439 min,Drama,8.2,91,12392,12392
Annie Hall,1977,93 min,"Comedy, Romance",8,91,275941,275941
Ngọn Đuốc Của Quỷ,1958,95 min,"Crime, Drama, Film-Noir",8,91,109147,109147
Cuộc Truy Lùng,1956,119 min,"Adventure, Drama, Western",7.8,91,95347,95347
8½,1963,138 min,Drama,8,91,124184,124184
The Grapes of Wrath,1940,129 min,Drama,8.1,91,99046,99046
